"","state","sex","age","race","educ","hispan","Number","Proportion"
"1","AK","male","18 to 29","american indian or alaska native","3rd Grade or less","not hispanic",1,0.000763358778625954
"2","AK","male","18 to 29","white","3rd Grade or less","not hispanic",6,0.00458015267175573
"3","AK","male","45 to 55","american indian or alaska native","1 year of college","not hispanic",12,0.00916030534351145
"4","AK","male","45 to 55","american indian or alaska native","3rd Grade or less","not hispanic",15,0.0114503816793893
"5","AK","male","45 to 55","american indian or alaska native","College Degree (such as B.A., B.S.)","not hispanic",2,0.00152671755725191
"6","AK","male","45 to 55","american indian or alaska native","Completed some college, but no degree","not hispanic",5,0.00381679389312977
"7","AK","male","45 to 55","american indian or alaska native","Completed some college, but no degree","mexican",1,0.000763358778625954
"8","AK","male","45 to 55","american indian or alaska native","Completed some high school","not hispanic",18,0.0137404580152672
"9","AK","male","45 to 55","american indian or alaska native","Completed some high school","puerto rican",1,0.000763358778625954
"10","AK","male","45 to 55","american indian or alaska native","Doctorate degree","not hispanic",5,0.00381679389312977
"11","AK","male","45 to 55","american indian or alaska native","High school graduate","not hispanic",58,0.0442748091603053
"12","AK","male","45 to 55","american indian or alaska native","High school graduate","mexican",2,0.00152671755725191
"13","AK","male","45 to 55","american indian or alaska native","Middle School - Grades 4 - 8","not hispanic",33,0.0251908396946565
"14","AK","male","45 to 55","black/african american","1 year of college","not hispanic",2,0.00152671755725191
"15","AK","male","45 to 55","black/african american","Completed some college, but no degree","not hispanic",5,0.00381679389312977
"16","AK","male","45 to 55","black/african american","High school graduate","not hispanic",5,0.00381679389312977
"17","AK","male","45 to 55","chinese","Middle School - Grades 4 - 8","not hispanic",1,0.000763358778625954
"18","AK","male","45 to 55","japanese","High school graduate","not hispanic",1,0.000763358778625954
"19","AK","male","45 to 55","Other","1 year of college","mexican",1,0.000763358778625954
"20","AK","male","45 to 55","Other","College Degree (such as B.A., B.S.)","mexican",1,0.000763358778625954
"21","AK","male","45 to 55","Other","Completed some college, but no degree","other",1,0.000763358778625954
"22","AK","male","45 to 55","Other","Doctorate degree","mexican",1,0.000763358778625954
"23","AK","male","45 to 55","Other","High school graduate","mexican",2,0.00152671755725191
"24","AK","male","45 to 55","Other","High school graduate","other",3,0.00229007633587786
"25","AK","male","45 to 55","other asian or pacific islander","1 year of college","not hispanic",5,0.00381679389312977
"26","AK","male","45 to 55","other asian or pacific islander","Completed some college, but no degree","not hispanic",2,0.00152671755725191
"27","AK","male","45 to 55","other asian or pacific islander","Completed some high school","not hispanic",3,0.00229007633587786
"28","AK","male","45 to 55","other asian or pacific islander","Doctorate degree","not hispanic",3,0.00229007633587786
